customer_id,region,contract_type,monthly_charges,age,tenure_months,monthly_charges,avg_monthly_usage_gb,support_tickets_90d,payment_failures_90d,service_incidents_30d,late_deliveries_90d,discount_pct,engagement_score,nps_score,days_since_last_login,cross_sell_products,autopay_enabled,paperless_billing,premium_support,streaming_bundle,churn_probability,predicted_churn,risk_band,churned,retention_priority,risk_summary,recommended_action
CUST-013331,North America,month-to-month,167.12,70,8,167.12,145.82,3,1,1,1,1.28,72.0,-16,13,0,0,0,0,0,0.9995968240385102,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
CUST-000348,North America,month-to-month,94.2,65,20,94.2,40.0,2,3,1,1,11.8,68.1,-27,12,0,0,1,0,0,0.9994625455522261,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
CUST-000235,LATAM,month-to-month,101.52,49,21,101.52,453.38,8,3,3,0,10.83,49.9,43,12,1,0,0,0,1,0.9983060741230755,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-003220,North America,month-to-month,141.36,73,12,141.36,214.25,5,2,1,0,5.27,47.4,35,8,1,0,1,0,0,0.997897749272761,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-013885,Europe,month-to-month,120.01,40,9,120.01,412.07,2,2,1,1,2.99,41.2,-70,9,1,1,1,0,0,0.9976787528054113,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; Weak customer advocacy,Route to retention specialist with offer guardrails and executive outreach review.
CUST-007062,North America,month-to-month,95.66,36,32,95.66,234.95,8,2,0,0,4.67,74.5,-26,8,0,0,1,0,1,0.9973099660564235,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; High support friction,Route to retention specialist with offer guardrails and executive outreach review.
CUST-003146,Europe,month-to-month,120.0,53,16,120.0,160.46,1,2,2,0,11.57,50.1,11,13,0,0,0,0,1,0.9969899778180338,1,critical,1,Immediate retention review,Month-to-month commitment; Billing instability; Recent service disruption,Route to retention specialist with offer guardrails and executive outreach review.
CUST-013766,Europe,month-to-month,105.51,58,24,105.51,290.28,4,1,0,2,5.76,36.1,-55,16,2,1,1,0,1,0.9967984371852587,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Falling product engagement,Route to retention specialist with offer guardrails and executive outreach review.
CUST-005748,LATAM,month-to-month,104.59,53,10,104.59,313.64,3,1,2,1,8.45,25.7,-17,7,2,1,0,0,1,0.9962680009363862,1,critical,1,Immediate retention review,Month-to-month commitment; High support friction; Recent service disruption,Route to retention specialist with offer guardrails and executive outreach review.
CUST-007530,North America,month-to-month,111.35,32,11,111.35,303.89,1,1,1,0,6.91,33.9,35,17,0,0,1,0,0,0.9962314021500226,1,critical,0,Immediate retention review,Month-to-month commitment; Falling product engagement,Route to retention specialist with offer guardrails and executive outreach review.
