customer_id,region,contract_type,payment_method,internet_tier,age,tenure_months,monthly_charges,avg_monthly_usage_gb,autopay_enabled,paperless_billing,premium_support,streaming_bundle,support_tickets_90d,payment_failures_90d,service_incidents_30d,late_deliveries_90d,discount_pct,engagement_score,nps_score,days_since_last_login,cross_sell_products,churn_probability_signal,churned
CUST-000001,APAC,month-to-month,credit-card,cable,19,44,53.68,514.5,0,1,0,0,0,0,0,0,14.7,44.0,24,5,1,0.008783,0
CUST-000002,Europe,month-to-month,bank-transfer,cable,67,50,60.02,716.82,1,1,0,0,1,0,2,2,15.07,94.6,39,12,0,0.000259,0
CUST-000003,APAC,month-to-month,invoice,fiber,25,15,98.43,330.57,0,1,0,1,4,1,1,1,13.64,42.2,43,9,1,0.792038,0
CUST-000004,APAC,two-year,credit-card,fiber,62,14,109.15,312.21,1,0,0,0,1,0,0,0,2.94,89.7,-19,12,1,0.007003,0
CUST-000005,North America,month-to-month,credit-card,fiber,20,96,92.54,466.54,1,1,0,1,1,0,1,0,13.95,53.7,-5,14,1,0.005223,0
CUST-000006,LATAM,month-to-month,bank-transfer,fiber,70,50,41.87,430.23,1,0,0,0,3,0,1,0,15.48,51.0,68,12,1,0.00395,0
CUST-000007,APAC,month-to-month,credit-card,cable,33,18,74.92,538.57,1,0,0,1,0,1,0,0,7.78,99.0,11,15,1,0.001911,0
CUST-000008,APAC,two-year,bank-transfer,fiber,74,23,131.28,,0,1,0,0,2,2,0,0,18.08,40.3,17,16,0,0.502883,1
CUST-000009,North America,month-to-month,credit-card,cable,46,40,94.3,306.16,1,1,0,1,1,0,0,0,17.83,70.2,7,10,0,0.027115,0
CUST-000010,Europe,month-to-month,digital-wallet,fiber,52,43,41.91,507.34,1,1,0,1,1,0,0,0,14.34,85.4,17,11,0,0.000595,0
CUST-000011,Europe,month-to-month,digital-wallet,cable,47,7,72.14,418.75,1,1,0,0,1,0,2,0,6.57,46.3,33,23,1,0.132244,1
CUST-000012,LATAM,month-to-month,bank-transfer,5g,62,33,41.95,542.83,0,1,0,1,3,2,1,0,9.3,76.6,61,7,1,0.004475,0
CUST-000013,APAC,two-year,digital-wallet,fiber,31,44,80.29,415.98,0,1,0,0,2,4,2,1,5.72,59.7,76,3,2,0.006856,0
CUST-000014,APAC,two-year,credit-card,5g,47,19,94.71,428.24,1,1,1,0,2,0,2,1,4.95,62.0,43,8,2,0.001922,0
CUST-000015,Europe,month-to-month,bank-transfer,cable,33,7,88.09,205.47,1,1,0,0,2,0,1,0,2.89,69.6,17,6,1,0.100235,0
CUST-000016,North America,two-year,bank-transfer,5g,65,41,82.55,314.34,1,1,0,1,2,0,0,0,6.72,68.2,38,8,3,0.000333,0
CUST-000017,Europe,month-to-month,credit-card,fiber,69,10,142.01,514.21,0,1,0,0,1,2,0,1,12.46,76.2,30,11,2,0.156237,1
CUST-000018,North America,two-year,credit-card,5g,50,55,97.29,674.4,1,1,0,0,1,1,1,0,,69.3,22,9,1,0.000209,0
